Glon_1,Glat_1,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,comments,Separation
300.746337,0.091892,13.45253846,0.108153846,12.62658974,0.13125641,0.143599833,39,split_295.0_335.0/5_3.csv,0.6-4.0,94,123511,0.435996414,3.08,,0.136276632
330.037932,1.044675,13.22264706,0.089588235,11.84241176,0.107117647,0.00605664,17,split_295.0_335.0/35_4.csv,0.6-4.0,339,209364,3.460917062,7.16,G3CC_32,0.146232067
330.073022,1.059814,13.46621053,0.113578947,12.56847368,0.141736842,0.017722136,19,split_295.0_335.0/35_4.csv,0.6-4.0,322,209364,1.321939515,9.55,,0.093809454
300.920121,0.891614,13.24676923,0.100692308,12.11115385,0.107692308,0.01100723,13,split_295.0_335.0/6_4.csv,0.6-4.0,115,25374,4.183077432,5.67,G3CC_5,0.090826763
301.110284,0.969114,13.08281818,0.109545455,12.22936364,0.133060606,0.075541191,33,split_295.0_335.0/6_4.csv,0.6-4.0,52,25374,1.547250773,8.55,HII,0.076534467
321.3791695,-0.3015455,12.696375,0.113625,11.75153125,0.12490625,0.044177805,32,split_295.0_335.0/26_2.csv,0.6-4.0,169,198992,0.916121549,10.67,,0.197217807
321.6298515,-0.351975,13.62566667,0.106166667,12.85,0.161166667,0.039352288,12,split_295.0_335.0/26_2.csv,0.6-4.0,142,198992,0.385672362,2.18,,0.196424982
317.968943,-0.0105065,13.72194444,0.115722222,12.78127778,0.148222222,0.043499528,18,split_295.0_335.0/23_3.csv,0.6-4.0,224,187166,0.539634293,1.8,bub,0.156558689
318.051281,0.086033,12.76904878,0.095243902,11.79839024,0.114268293,0.01817,41,split_295.0_335.0/23_3.csv,0.6-4.0,251,187166,2.942662898,9.19,G3CC_21,0.137074766
318.4174865,-0.0995375,13.68420833,0.103541667,12.74829167,0.129916667,0.041428062,24,split_295.0_335.0/23_3.csv,0.6-4.0,134,187166,0.755489116,3.17,,0.143479927
318.647729,0.423697,13.7837037,0.135074074,12.92962963,0.163888889,0.079076914,27,split_295.0_335.0/23_3.csv,0.6-4.0,100,187166,0.445272258,-1.19,,0.10495608
332.258351,-0.055806,13.23605,0.1229,12.1049,0.1143,0.013950124,20,split_295.0_335.0/37_3.csv,0.6-4.0,579,224142,1.708501476,7.56,,0.177718171
332.134589,0.1066845,13.56525,0.126,12.60339286,0.133964286,0.019154257,28,split_295.0_335.0/37_3.csv,0.6-4.0,582,224142,1.74203214,5.82,,0.06843288
