Glon,Glat,comments,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity
326.6098,0.7972,VVV_CL055,13.29230556,0.095527778,12.29494444,0.113611111,0.019159219,36,split_295.0_335.0/31_3.csv,0.6-4.0,380,199300,2.374630861,5.21
351.7864,-0.5376,,13.7392,0.09028,12.74312,0.11148,0.014976235,25,split_350.0_360.0/1_4.csv,0.6-4.0,367,361176,1.567122616,3.34
10.2184,0.7706,,13.7612,0.13795,12.76585,0.1642,0.062826192,20,split_0.0_15.0/10_5.csv,0.6-4.0,232,332883,0.311292397,1.15
49.0688,-0.3273,,13.00081818,0.117136364,12.00618182,0.116,0.026182136,22,split_35.0_66.0/14_0.csv,0.6-4.0,185,124982,1.340969596,9.35
309.378,-0.1199,VVV_CL031,13.68530769,0.105307692,12.69392308,0.120307692,0.019488891,13,split_295.0_335.0/14_3.csv,0.6-4.0,160,167561,0.919379521,6.35
355.74294,0.6523,,13.42694118,0.102352941,12.43815686,0.117588235,0.026143427,51,split_350.0_360.0/5_5.csv,0.6-4.0,280,402308,1.735215406,20.55
314.3229,0.1236,,13.73442857,0.106,12.746,0.134952381,0.02002919,21,split_295.0_335.0/19_3.csv,0.6-4.0,452,172255,1.425263167,3.49
316.0842,-0.6786,,13.26731818,0.117909091,12.279,0.132681818,0.051654104,22,split_295.0_335.0/21_2.csv,0.6-4.0,140,173273,0.57726798,4.7
17.1662,0.8154,'G3CC_57',13.20943478,0.104913043,12.22130435,0.120826087,0.011109096,23,split_15.0_35.0/2_3.csv,0.6-4.0,235,282210,2.198811438,4.01
20.4102,0.1931,,13.36726667,0.136066667,12.38053333,0.132533333,0.045750456,15,split_15.0_35.0/5_3.csv,0.6-4.0,229,298349,0.338655866,2.37
6.7995,-0.2511,'G3CC_52',12.55615,0.09435,11.57045,0.1085,0.014890856,20,split_0.0_15.0/6_4.csv,0.6-4.0,644,358788,1.265075497,9.67
0.5969,0.0462,,12.14,0.074473684,11.15478947,0.088526316,0.006990692,19,split_0.0_15.0/0_4.csv,0.6-4.0,4890,487724,2.195692217,2.01
353.5303,-1.0936,,13.32579167,0.11525,12.34141667,0.14675,0.055242833,24,split_350.0_360.0/3_3.csv,0.6-4.0,93,215381,0.52814925,7.51
328.9814,0.5695,,13.6385,0.117615385,12.65519231,0.128346154,0.034415763,26,split_295.0_335.0/34_3.csv,0.6-4.0,311,225485,0.897598623,5.39
14.0112,-0.1728,,12.87330435,0.114695652,11.89073913,0.123217391,0.019317802,23,split_0.0_15.0/14_4.csv,0.6-4.0,250,290412,1.246487479,3.46
59.7964,0.0638,'G3CC_73',13.15895652,0.102173913,12.17665217,0.121695652,0.090871543,46,split_35.0_66.0/24_1.csv,0.6-4.0,123,119174,0.827302304,3.98
53.2366,0.0497,'G3CC_70',13.1826,0.09672,12.20165333,0.11532,0.052180049,75,split_35.0_66.0/18_1.csv,0.6-4.0,282,143439,2.141155557,7.82
353.9964,0.3431,off*,13.43457143,0.091214286,12.45364286,0.106571429,0.017370718,14,split_350.0_360.0/3_4.csv,0.6-4.0,401,389718,0.728383502,6.33
302.1656,0.0664,VVV_CL018,13.81505882,0.125882353,12.83423529,0.137058824,0.072749399,17,split_295.0_335.0/7_3.csv,0.6-4.0,98,130355,0.365157925,1.13
53.5973,-0.2448,'[SUH2012]_G053.594-00.249',12.89954167,0.1125,11.91879167,0.121,0.071869145,24,split_35.0_66.0/18_0.csv,0.6-4.0,56,124422,0.53412787,5.17
313.2721,-0.7103,,13.4895,0.116714286,12.50978571,0.133464286,0.070271314,28,split_295.0_335.0/18_2.csv,0.6-4.0,119,170835,0.543896917,3.86
309.5319,-0.7436,G3CC_13,13.78325532,0.088680851,12.80404255,0.127553191,0.088242278,47,split_295.0_335.0/14_2.csv,0.6-4.0,172,174031,0.72033232,0.19
322.0773,0.3098,,13.83913793,0.102241379,12.85996552,0.140689655,0.073832186,29,split_295.0_335.0/27_3.csv,0.6-4.0,143,215982,0.476835474,1.28
329.0159,0.985,,13.33895238,0.100142857,12.36042857,0.130095238,0.028247616,21,split_295.0_335.0/34_4.csv,0.6-4.0,219,187914,0.967571316,4.67
23.2713,-0.265,,12.59642105,0.100684211,11.61873684,0.109947368,0.013889424,19,split_15.0_35.0/8_2.csv,0.6-4.0,1183,241943,1.569053988,1.53
30.7697,-0.7948,,13.5156,0.119666667,12.5394,0.140233333,0.029009346,30,split_15.0_35.0/15_2.csv,0.6-4.0,192,240786,1.189029865,8.29
43.0387,-0.4535,'G3CC_63',12.74530769,0.094461538,11.77061538,0.106923077,0.020877419,13,split_35.0_66.0/8_0.csv,0.6-4.0,128,150596,0.905284115,4.08
6.1896,-0.3655,,13.41133333,0.107392157,12.43664706,0.119843137,0.033393675,51,split_0.0_15.0/6_4.csv,0.6-4.0,376,358788,1.438507292,4.99
52.1788,0.2921,,14.05169231,0.120153846,13.07723077,0.138961538,0.066290772,26,split_35.0_66.0/17_1.csv,0.6-4.0,88,145629,0.579857666,2.06
328.1655,0.588,G3CC_28,13.50292308,0.120846154,12.52961538,0.134615385,0.013172794,13,split_295.0_335.0/33_3.csv,0.6-4.0,434,202610,1.236972578,6
303.9816,-0.5327,,13.68365,0.09335,12.71235,0.12235,0.054431694,20,split_295.0_335.0/9_2.csv,0.6-4.0,131,167632,0.506319605,4.04
62.9161,-0.3781,,13.71044,0.10912,12.73956,0.12364,0.067189788,25,split_35.0_66.0/27_0.csv,0.6-4.0,43,95049,0.680907357,5.12
318.0513,0.086,G3CC_21,12.76904878,0.095243902,11.79839024,0.114268293,0.01817,41,split_295.0_335.0/23_3.csv,0.6-4.0,251,187166,2.942662898,9.19
299.0515,0.1808,,13.4866,0.1027,12.51615,0.1136,0.047637844,20,split_295.0_335.0/4_3.csv,0.6-4.0,90,120310,0.682892121,3.49
353.0719,-0.0353,,13.72886667,0.134666667,12.75866667,0.143266667,0.02476437,15,split_350.0_360.0/3_4.csv,0.6-4.0,502,389718,0.547411351,2.84
58.4693,0.4377,'G3CC_72',13.29053226,0.100774194,12.32180645,0.115935484,0.112093844,62,split_35.0_66.0/23_1.csv,0.6-4.0,133,117585,0.910036956,5.6
47.1721,0.3208,,13.26488889,0.107851852,12.29659259,0.115222222,0.063344955,27,split_35.0_66.0/12_1.csv,0.6-4.0,153,175206,0.574516242,6.87
14.604,0.0017,,12.33492,0.10604,11.367,0.11964,0.025930725,25,split_0.0_15.0/14_4.csv,0.6-4.0,605,290412,1.009353141,3.59
357.2664,0.9389,,12.91170588,0.137352941,11.94394118,0.124470588,0.051313494,17,split_350.0_360.0/7_5.csv,0.6-4.0,126,452889,0.277745166,2.09
18.3742,-0.3823,,12.68484,0.10568,11.71736,0.11612,0.030598334,25,split_15.0_35.0/3_2.csv,0.6-4.0,530,307443,0.83135209,1.12
39.3625,-0.3348,,13.8709375,0.109125,12.90625,0.139375,0.030109855,16,split_35.0_66.0/4_0.csv,0.6-4.0,430,169504,0.728192843,1.89
355.745,0.1311,,13.16989474,0.129842105,12.20642105,0.120736842,0.019062132,19,split_350.0_360.0/5_4.csv,0.6-4.0,689,412872,0.875184212,4.81
306.9389,-0.5133,,13.59956667,0.127966667,12.63653333,0.1117,0.077950752,30,split_295.0_335.0/12_2.csv,0.6-4.0,85,197451,0.488648242,1.47
319.3353,0.9115,G3CC_23,13.54593548,0.103354839,12.58332258,0.122387097,0.020940483,31,split_295.0_335.0/24_4.csv,0.6-4.0,152,41120,4.118826588,5.94
331.3845,0.1526,,13.28416129,0.094,12.32187097,0.120903226,0.016213528,31,split_295.0_335.0/36_3.csv,0.6-4.0,563,224040,2.279011184,5.12
3.4502,-0.352,,13.77941176,0.11,12.81717647,0.121588235,0.010569017,17,split_0.0_15.0/3_4.csv,0.6-4.0,978,403560,1.428516774,2.12
