,Glon,Glat,GLIMPSE,S,C,Jmag,e_Jmag,Kmag,e_Kmag,3_6mag,e_3_6mag,4_5mag,e_4_5mag,5_8mag,e_5_8mag,8_0mag,e_8_0mag
1109,284.258994,0.770139,G284.2589+00.7701,1,C,14.166,0.049,13.725,0.072,13.798,0.072,,,,,,
1110,284.258178,0.770897,G284.2581+00.7709,1,C,14.015,0.072,12.989,0.054,12.799,0.044,,,,,,
1111,284.254969,0.771647,G284.2549+00.7716,1,A,16.204,0.119,14.946,0.151,14.835,0.133,,,,,,
1112,284.252916,0.766,G284.2529+00.7660,1,C,13.364,0.026,11.359,0.021,11.029,0.049,,,10.875,0.061,,
1113,284.252277,0.7683,G284.2522+00.7683,1,A,,,,,15.12,0.126,,,,,,
1114,284.247616,0.765519,G284.2476+00.7655,1,A,16.32,0.119,15.171,0.165,14.876,0.124,,,,,,
1115,284.246046,0.774411,G284.2460+00.7744,1,C,14.851,0.033,14.095,0.068,13.923,0.086,,,,,,
1116,284.255347,0.776164,G284.2553+00.7761,1,C,13.882,0.028,12.375,0.03,12.087,0.053,,,12.171,0.142,,
1117,284.255605,0.780622,G284.2556+00.7806,1,C,16.378,0.137,14.209,0.08,13.756,0.082,,,,,,
1118,284.251952,0.780122,G284.2519+00.7801,1,A,,,,,14.983,0.171,,,,,,
1119,284.258528,0.780522,G284.2585+00.7805,1,A,16.108,0.112,14.655,0.118,14.596,0.082,,,,,,
1120,284.258808,0.784358,G284.2588+00.7843,1,C,15.238,0.062,13.339,0.039,12.914,0.058,,,12.666,0.144,,
1121,284.247046,0.7772,G284.2470+00.7772,1,A,,,,,14.819,0.116,,,,,,
1122,284.244174,0.779722,G284.2441+00.7797,1,C,15.263,0.052,14.437,0.095,14.129,0.101,,,,,,
1123,284.246704,0.782331,G284.2467+00.7823,1,A,15.997,0.103,15.01,0.149,14.687,0.126,,,,,,
1124,284.24444,0.781308,G284.2444+00.7813,1,C,15.69,0.068,14.382,0.084,13.843,0.086,,,,,,
1125,284.24704,0.785097,G284.2470+00.7851,1,C,11.335,0.024,10.127,0.023,9.975,0.048,,,9.896,0.049,,
1126,284.243212,0.765725,G284.2432+00.7657,1,A,15.85,0.097,15.07,0.174,15.095,0.197,,,,,,
1127,284.242326,0.768208,G284.2423+00.7682,1,A,,,,,14.895,0.156,,,,,,
1128,284.241307,0.768372,G284.2413+00.7683,1,C,11.287,0.023,11.161,0.026,11.114,0.04,,,11.023,0.077,,
1129,284.239565,0.768822,G284.2395+00.7688,1,A,,,,,15.125,0.178,,,,,,
1130,284.242121,0.772253,G284.2421+00.7722,1,A,,,,,15.159,0.172,,,,,,
1131,284.241337,0.773486,G284.2413+00.7734,1,A,16.333,0.13,14.994,0.144,14.586,0.107,,,,,,
1132,284.241862,0.775381,G284.2418+00.7753,1,C,14.792,0.05,13.992,0.058,13.768,0.093,,,,,,
1133,284.239434,0.774583,G284.2394+00.7745,1,A,,,,,15.497,0.214,,,,,,
1134,284.238206,0.773561,G284.2382+00.7735,1,A,,,,,15.556,0.185,,,,,,
1135,284.229958,0.778117,G284.2299+00.7781,1,C,14.626,0.029,12.815,0.03,12.499,0.059,,,12.42,0.167,,
1136,284.227522,0.780639,G284.2275+00.7806,1,A,15.41,0.065,14.872,0.128,14.936,0.145,,,,,,
1137,284.241443,0.77905,G284.2414+00.7790,1,A,15.619,0.064,14.841,0.113,14.509,0.103,,,,,,
1138,284.24087,0.780383,G284.2408+00.7803,1,A,15.035,0.056,14.332,0.09,14.251,0.105,,,,,,
1139,284.242851,0.780661,G284.2428+00.7806,1,C,13.624,0.04,12.343,0.038,12.165,0.063,,,11.95,0.102,,
1140,284.235853,0.782964,G284.2358+00.7829,1,A,,,,,15.35,0.161,,,,,,
1141,284.237842,0.787528,G284.2378+00.7875,1,C,12.981,0.023,12.371,0.021,12.3,0.055,,,12.124,0.16,,
1142,284.234561,0.787361,G284.2345+00.7873,1,A,16.046,0.086,14.983,0.153,14.577,0.176,,,,,,
1143,284.226897,0.785944,G284.2269+00.7859,1,A,16.116,0.106,15.204,0.159,14.846,0.15,,,,,,
1144,284.22773,0.787217,G284.2277+00.7872,1,A,,,,,15.141,0.156,,,,,,
1145,284.228233,0.791103,G284.2282+00.7911,1,A,14.946,0.033,14.064,0.069,13.915,0.104,,,,,,
1146,284.226419,0.791681,G284.2264+00.7916,1,A,15.38,0.049,13.355,0.055,12.949,0.092,,,,,,
